"obraz_id","skus","obraz_ids_all","suitable_figure","suitable_color","suitable_kibbe","name (опционально)",""
"118900","115554,118218","118900;118899","Груша","Весна, Осень","Драматик","Деловой образ с рубашкой и юбкой",""
"118896","114709,118218","118896;118895","Груша, Песочные часы, Прямоугольник","Весна, Осень","Классик, Натурал","Винтажный жакет с кожаной юбкой",""
"118785","117349,117270","118785;118784","Груша, Прямоугольник, Песочные часы","Все","Драматик, Классик, Натурал","Универсальный комплект: топ + широкие брюки",""
"118783","113205,117351,115890,115662","118783","Все","Весна, Осень","Драматик, Классик, Натурал, Гамин","Городской образ в светло-жёлтых тонах",""
"118782","117329,115890,115662","118782","0","0","0","0",""
"118781","115466,115418,115890","118781","Все","Весна, Осень","Все","Фактурный образ с лонгсливом и юбкой",""
"118780","115871,115554,115482","118780","Все","Лето, Зима","Все","Повседневный образ с рубашкой, джинсами и жакетом",""
"118779","115871,115554,115482,115662","118779","Все","Лето, Зима","Все","Повседневный образ с рубашкой, джинсами и жакетом",""
"118776","113205,113596","118776","Все","Весна, Осень","Драматик, Классик, Натурал","Комплект: тренч + платье-макси",""
"118775","117299,117351","118775;118329;118328","Груша, Прямоугольник, Песочные часы","Весна, Осень","Классик, Натурал, Гамин","Светлый образ: брюки wide leg + рубашка",""
"118774","109367,109390","118774","Груша, Песочные часы","Все","Классик, Драматик, Натурал, Романтик","Рубашка на молнии + расклешенная юбка",""
"118773","117299,117270,117341","118773","","","","",""
"118566","117341,117312,117270","118566","Все","Все","Драматик, Классик, Натурал, Гамин","Уличный образ: ветровка + футболка + брюки",""
"118564","117341,117351","118564;118563;118560;118556;118555;118331;118330","Груша, Прямоугольник, Песочные часы","Весна, Осень","Классик, Натурал, Гамин, Драматик","Ветровка + широкие брюки Pima",""
"118562","113205,115100,115510","118562","Все","Весна, Осень","Драматик, Классик, Натурал, Романтик","Тренч, юбка-миди, ажурный кардиган",""
"118559","105466,114827","118559","Все","Все","Классик, Натурал, Гамин, Драматик","Бомбер из хлопка + брюки без пояса",""
"118558","114741,114827","118558;118557","Все","Все","Драматик, Классик, Натурал","Бомбер из костюмной ткани + брюки без пояса",""
"118341","117351,86894","118341;118340;118339","0","","","",""
"118338","115871,115554,109589","118338","Все","Лето, Зима","Классик, Романтик, Натурал, Гамин","Жакет с вышивкой, рубашка и юбка в цветочек",""
"118337","115510,115100","118337","0","","","",""
"118336","115871,115512,115554,115100","118336","Все","Лето, Зима","Классик, Романтик, Натурал, Гамин","Жакет, рубашка, бельевая юбка и кардиган",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
