obraz_id,skus,obraz_ids_all
118900,"115554,118218",118900;118899
118896,"114709,118218",118896;118895
118785,"117349,117270",118785;118784
118783,"113205,117351,115890,115662",118783
118782,"117329,115890,115662",118782
118781,"115466,115418,115890",118781
118780,"115871,115554,115482",118780
118779,"115871,115554,115482,115662",118779
118778,"117270,17268",118778
118776,"113205,113596",118776
118775,"117299,117351",118775;118329;118328
118774,"109367,109390",118774
118773,"117299,117270",118773
118772,"117299,117270,17268",118772
118566,"117341,117312,117270",118566
118564,"117341,117351",118564;118563;118560;118556;118555;118331;118330
118562,"113205,115100,115510",118562
118561,"113205,115100",118561
118559,"105466,114827",118559
118558,"114741,114827",118558;118557
118341,"117351,86894",118341;118340;118339
118338,"115871,115554,109589",118338
118337,"115510,115100",118337
118336,"115871,115512,115554,115100",118336
118256,"115466,115418",118256
