obraz_id,skus,photos_count,photos
118900,"115554,118218",2,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/833/ylsll5pq7wexa8g4t77m1ndht19eru0v/anastasiya2.webp;https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/192/hwndbwkfhdu5sea0723xjyngg1g6y6mi/anastasiya1.webp
118896,"114709,118218",2,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/fc2/puvdefsf725s02siaqs82u2r3z4djzt5/mariya2.webp;https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/911/0bg07c0swwka65uscadpbuc6e1za1fg3/mariya1.webp
118785,"117349,117270",2,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/c83/qt6n97cnb917qvytyoarvo3e2ykkehkp/radikovnaa2.webp;https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/91f/bqx7jo45fsxdgxtllgz1s50acqdhhj85/radikovnaa1.webp
118783,"113205,117351,115890,115662",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/710/11lbb7cx8kefoqkub7r3zmhq5v6ezhi4/alina3.webp
118782,"117329,115890,115662",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/10a/xhy0k7fcthbu9lqzk467m2dwu0jhw354/alina2.webp
118781,"115466,115418,115890",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/408/k1b5r1nk9wuw1vpv5wvi2fubtpe7d155/alina1.webp
118780,"115871,115554,115482",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/af5/wosnm6uv29z2xcjfzeh7xsak9mwcmz1k/katya2.webp
118779,"115871,115554,115482,115662",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/191/ckyprrxvm1rejk4hfn0bpht3ab5tu8r7/katya1.webp
118778,"117270,17268",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/3da/868myt0xld173xapcgfzbmynw5mepog9/maria.webp
118776,"113205,113596",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/0df/21cz3df2p1fmfslcr58ni50dgdv6oyut/sonya.webp
118775,"117299,117351",3,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/28f/kvl4dt9jb4am2glll20li6unu3p9z66o/tolmacheva4.webp;https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/3bd/iluqo5y5j9dctjcxo14ajo4e1t4zhfya/kristina.webp;https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/74b/m6rapjk3ehsm1086drnlp92a6h8cofcx/kristina1.webp
118774,"109367,109390",1,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/cb3/ypa35eb749d6imi4khoqecduo7vmpji5/tolmacheva3.webp
