sku,name,price,category,url,image
115554,Рубашка с вышивкой из хлопка,11890,Рубашки и блузы,https://daisyknit.ru/catalog/rubashki_i_bluzy/rubashka_s_vyshivkoy_iz_khlopka/?sku=115554,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/489/p5pn2912p4sav9o026isjulmx51jq7lb/Rubashka-s-vyshivkoy-iz-khlopka-Belyy-970286_1.webp
118218,Юбка из экокожи,13890,Юбки,https://daisyknit.ru/catalog/yubki_1/yubka_iz_ekokozhi/?sku=118218,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/271/skhon9wdozjh5dldcltp9cgjcwwxdr5z/YUbka-iz-ekokozhi-Svetlo_zheltyi_-968472_1.webp
113205,Тренч облегченный на хлопковом подкладе,27890,Верхняя одежда,https://daisyknit.ru/catalog/verkhnyaya_odezhda_1/trench_oblegchennyy_na_khlopkovom_podklade/?sku=113205,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/112/pjp1gz3dlicvmplpkx61kf5wa8dgl3uh/Trench-oblegchennyy-na-khlopkovom-podklade-Svetlo_zhyeltyy-968988_1.webp
114709,Жакет укороченный в винтажном стиле,19890,Жакеты и жилеты,https://daisyknit.ru/catalog/zhakety_i_zhilety/zhaket_ukorochennyy_v_vintazhnom_stile/?sku=114709,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/af5/s2zo39iq56qvrud0o166jh5n7p9ir1p7/ZHaket-ukorochennyy-v-vintazhnom-stile-SHokoladnyy-969165_1.webp
117344,Юбка миди двойная,11890,Юбки,https://daisyknit.ru/catalog/yubki_1/yubka_midi_dvoynaya/?sku=117344,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/7d9/hduwsuh2r11mee8p2qwdvab83dve3xhw/YUbka-midi-dvoynaya-Svetlo_seryy-971140_1.webp
117349,Топ на молнии с коротким рукавом,9890,Топы,https://daisyknit.ru/catalog/topy/top_na_molnii_s_korotkim_rukavom/?sku=117349,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/cbd/mihgooo2mazsvmcnon99xudhmqmd4cqk/Top-na-molnii-s-korotkim-rukavom-Goluboy-971144_1.webp
117270,Брюки широкие со складками,12890,Брюки и шорты,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_so_skladkami_3/?sku=117270,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/287/503upx67ed3f1ygi15v23hallyt6szyz/Bryuki-shirokie-so-skladkami-Grafitovyy-970704_1.webp
117351,Брюки широкие из хлопка Pima,13890,Брюки и шорты,https://daisyknit.ru/catalog/bryuki_i_shorty/bryuki_shirokie_iz_khlopka_pima/?sku=117351,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/e63/zp9nsgjd5chypo4qtiln4syj58dy01hc/Bryuki-shirokie-iz-khlopka-Pima-Svetlo_zheltyy-971145_1.webp
115890,Туфли на плоской подошве из замшевой кожи,18890,Обувь,https://daisyknit.ru/catalog/obuv_2/tufli_na_ploskoy_podoshve_iz_zamshevoy_kozhi/?sku=115890,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/593/67pu646mx7fn4v7vzy8wgbrlr7jzmg9f/Capture_One_Catalog_89995.webp
115662,Солнцезащитные очки с поляризацией в прямоугольной оправе,7890,Сумки и аксессуары,https://daisyknit.ru/catalog/sumki_i_aksessuary/solntsezashchitnye_ochki_s_polyarizatsiey_v_pryamougolnoy_oprave_1/?sku=115662,https://daisyknit.ru/upload/dev2fun.imagecompress/webp/iblock/117/2bt01w651hw2ysbq497762fmdgu6ce2o/Solntsezashchitnye-ochki-s-polyarizatsiey-v-pryamougolnoy-oprave-Korichnevyy-968467_2.webp
